depvar;genitive_type;por_length_words;pum_length_words;animacy;alpha_persistence_S;alpha_persistence_OF;alpha_persistence_NN;beta_persistence_S;beta_persistence_OF;beta_persistence_NN;TTR;por_thematicity_ptw;pum_thematicity_ptw;final_sibilancy;time;por_head_noun;pum_head_noun;register;filename;period;year;gen_phrase
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;42;2.45;2.45;no;-1.925451562;paper;OTHER;letters;1651acon.x2b;1650-1699;1651;the weaknesses of that paper
0;OF;5;5;non-animate;no;no;no;no;yes;yes;45;2.45;4.9;yes;-1.925451562;OTHER;OTHER;letters;1651acon.x2b;1650-1699;1651;the expressions that i can make of any esteeme of your favoures
0;OF;1;1;non-animate;no;no;no;no;no;yes;43;1.93;1.93;no;-1.905451562;OTHER;OTHER;letters;1653finc.x2b;1650-1699;1653;the choicest of his mercies
0;OF;2;1;non-animate;no;no;no;no;no;no;41;0.49;0.49;yes;-1.905451562;OTHER;sum;news;1653merc.n2b;1650-1699;1653;the sum of all intelligence
1;S;1;1;animate;no;yes;no;no;yes;no;46;0.49;1.94;no;-1.905451562;god;OTHER;news;1653merc.n2b;1650-1699;1653;gods justice
1;S;1;1;animate;no;no;no;no;no;yes;45;0.49;0.49;no;-1.905451562;OTHER;son;news;1653merc.n2b;1650-1699;1653;minesters son
1;S;2;2;animate;no;no;no;no;no;yes;28;0.49;0.97;no;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;weddalls troope quartering
1;S;1;1;animate;yes;no;no;yes;no;yes;33;0.49;4.86;no;-1.905451562;gentlemen;house;news;1653merc.n2b;1650-1699;1653;gentlemens house
0;OF;1;1;non-animate;no;yes;no;no;yes;no;41;0.49;0.49;no;-1.905451562;OTHER;defence;news;1653merc.n2b;1650-1699;1653;defence of the commonwealth
1;S;2;1;animate;yes;no;no;yes;no;yes;48;0.49;0.49;no;-1.905451562;OTHER;regiment;news;1653merc.n2b;1650-1699;1653;collonel overtons regiment
0;OF;1;1;animate;no;yes;no;no;yes;no;41;2.43;0.49;no;-1.905451562;people;information;news;1653merc.n2b;1650-1699;1653;information of the people
1;S;1;2;animate;no;no;yes;no;yes;yes;41;1.46;1.46;no;-1.905451562;queen;OTHER;news;1653merc.n2b;1650-1699;1653;the queens new buildings
0;OF;1;2;non-animate;no;no;no;no;yes;yes;36;0.49;1.46;no;-1.905451562;OTHER;day;news;1653merc.n2b;1650-1699;1653;the first day of aprill
0;OF;2;1;non-animate;no;yes;no;no;yes;yes;42;3.89;0.97;no;-1.905451562;parliament;authority;news;1653merc.n2b;1650-1699;1653;authority of this present parliament
0;OF;1;4;non-animate;no;no;no;no;yes;yes;32;0.97;1.46;no;-1.905451562;march;day;news;1653merc.n2b;1650-1699;1653;the six and twentieth day of march
0;OF;3;1;non-animate;no;no;no;no;yes;yes;43;0.49;0.97;yes;-1.905451562;OTHER;powers;news;1653merc.n2b;1650-1699;1653;the powers of the committees for obstructions
0;OF;4;1;non-animate;no;yes;no;no;yes;yes;38;1.46;1.46;yes;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;sale of any of the premises
0;OF;1;1;non-animate;no;yes;no;no;yes;no;34;1.94;1.46;yes;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;removing of obstructions
1;S;2;1;animate;no;yes;no;no;yes;yes;42;0.49;2.43;no;-1.905451562;family;OTHER;news;1653merc.n2b;1650-1699;1653;one families murder
0;OF;1;1;non-animate;no;yes;no;no;yes;no;36;2.91;0.49;no;-1.905451562;act;remainder;news;1653merc.n2b;1650-1699;1653;the remainder of the act
0;OF;2;1;non-animate;no;no;no;no;no;yes;44;0.49;0.49;no;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;that extremity of hard weather
0;OF;1;1;animate;yes;yes;no;yes;yes;yes;43;0.49;0.49;no;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;the family of an englishman
0;OF;3;1;non-animate;no;yes;no;no;yes;yes;41;1.94;0.49;yes;-1.905451562;justice;OTHER;news;1653merc.n2b;1650-1699;1653;the revivall of indendanes of justice
0;OF;1;1;non-animate;no;no;no;no;yes;no;41;2.43;0.49;no;-1.905451562;court;OTHER;news;1653merc.n2b;1650-1699;1653;the lusts of the court
0;OF;2;1;non-animate;no;no;no;no;no;no;38;0.49;0.49;yes;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;the selling of their places
1;S;1;1;animate;no;yes;no;no;yes;yes;38;0.49;0.49;no;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;murderers legs
0;OF;2;1;non-animate;no;no;no;no;yes;no;45;1.94;0.49;yes;-1.905451562;justice;OTHER;news;1653merc.n2b;1650-1699;1653;the footsteps of gods justice
0;OF;2;1;non-animate;no;yes;no;no;yes;no;43;1.65;1.65;no;-1.905451562;OTHER;end;letters;1653osbn.x2b;1650-1699;1653;the end of one journy
1;S;1;1;animate;no;no;no;no;yes;no;40;1.65;1.65;no;-1.905451562;mother;death;letters;1653osbn.x2b;1650-1699;1653;mothers death
1;S;1;3;non-animate;no;no;no;no;no;yes;10;0.61;0.61;no;-1.895451562;OTHER;OTHER;news;1654mer2.n2b;1650-1699;1654;glencairns trumpet and cook
1;S;1;1;animate;no;yes;no;no;yes;no;42;0.61;3.04;no;-1.895451562;emperor;OTHER;news;1654mer2.n2b;1650-1699;1654;emperors court
0;OF;1;1;animate;no;no;no;no;yes;yes;45;0.61;1.21;no;-1.895451562;mother;return;news;1654mer2.n2b;1650-1699;1654;the return of his mother
0;OF;3;1;animate;no;no;no;no;no;yes;41;0.61;1.21;no;-1.895451562;OTHER;OTHER;news;1654mer2.n2b;1650-1699;1654;the business of the earl of harcourt
0;OF;1;1;animate;no;no;no;no;no;yes;43;1.21;1.82;yes;-1.895451562;OTHER;behalf;news;1654mer2.n2b;1650-1699;1654;the behalf of the english
0;OF;1;1;animate;no;yes;no;no;yes;yes;41;3.04;1.82;yes;-1.895451562;dutch;behalf;news;1654mer2.n2b;1650-1699;1654;the behalf of the dutch
1;S;2;1;animate;no;yes;no;no;yes;yes;43;0.61;3.04;yes;-1.895451562;OTHER;OTHER;news;1654mer2.n2b;1650-1699;1654;the lord mayors court
0;OF;1;2;non-animate;no;yes;no;no;yes;yes;38;3.04;0.61;no;-1.895451562;court;hand;news;1654mer2.n2b;1650-1699;1654;the right hand of the court
0;OF;2;2;non-animate;no;yes;no;no;yes;yes;37;0.61;0.61;no;-1.895451562;OTHER;OTHER;news;1654mer2.n2b;1650-1699;1654;the broad seal of either commonwealth
0;OF;1;1;animate;no;yes;yes;no;yes;yes;38;3.04;1.82;yes;-1.895451562;dutch;behalf;news;1654mer2.n2b;1650-1699;1654;behalf of the dutch
0;OF;2;1;non-animate;yes;yes;no;yes;yes;yes;42;0.61;0.61;no;-1.895451562;army;absence;news;1654mer2.n2b;1650-1699;1654;the absence of our army
0;OF;1;1;non-animate;no;yes;no;no;yes;no;39;3.64;1.21;no;-1.895451562;day;work;news;1654mer2.n2b;1650-1699;1654;the work of this day
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;42;1.21;0.61;no;-1.895451562;city;OTHER;news;1654mer2.n2b;1650-1699;1654;the magistrates of this city
1;S;1;1;animate;no;yes;no;no;yes;no;42;0.61;3.04;no;-1.895451562;bishop;OTHER;news;1654mer2.n2b;1650-1699;1654;the bishops court
0;OF;7;1;animate;no;no;no;no;yes;yes;44;0.61;0.61;no;-1.895451562;OTHER;name;news;1654mer2.n2b;1650-1699;1654;the name of their lievtenant general the earle of lignevile
0;OF;1;1;animate;no;yes;no;no;yes;no;45;2.43;1.21;no;-1.895451562;king;OTHER;news;1654mer2.n2b;1650-1699;1654;the coronation of the king
1;S;3;1;animate;no;no;no;no;yes;yes;41;5.46;0.61;no;-1.895451562;OTHER;OTHER;news;1654mer2.n2b;1650-1699;1654;the lord of argiles bounds
0;OF;2;1;animate;no;no;no;no;yes;yes;43;0.61;0.61;no;-1.895451562;OTHER;OTHER;news;1654mer2.n2b;1650-1699;1654;the parting of prince rupert
0;OF;1;1;animate;no;yes;no;no;yes;yes;44;0.61;1.21;no;-1.895451562;OTHER;OTHER;news;1654mer2.n2b;1650-1699;1654;the guns of the swallow
0;OF;3;1;non-animate;no;no;no;no;no;yes;46;1.96;1.96;no;-1.895451562;OTHER;rate;letters;1654osbn.x2b;1650-1699;1654;the rate of our young nobillity
1;S;3;1;animate;no;no;no;no;no;yes;45;1.96;1.96;no;-1.895451562;OTHER;house;letters;1654osbn.x2b;1650-1699;1654;sir john temples house
0;OF;2;2;animate;no;no;no;no;yes;yes;35;3.05;3.05;no;-1.855451562;OTHER;OTHER;letters;1658brwn.x2b;1650-1699;1658;the hopefull recoverie of mr dugdale
0;OF;2;2;non-animate;no;no;no;no;no;yes;41;3.05;3.05;no;-1.855451562;OTHER;OTHER;letters;1658brwn.x2b;1650-1699;1658;the solemne processe of the great worke
1;S;1;1;animate;no;no;no;no;yes;yes;40;9.51;3.8;no;-1.855451562;wife;OTHER;letters;1658econ.x2b;1650-1699;1658;wifes sickness
0;OF;1;1;non-animate;no;no;no;no;yes;no;45;3.8;1.9;yes;-1.855451562;OTHER;OTHER;letters;1658econ.x2b;1650-1699;1658;the incidents of this sickness
0;OF;1;1;animate;no;no;no;no;no;no;39;1.9;1.9;no;-1.855451562;OTHER;charge;letters;1658econ.x2b;1650-1699;1658;the charge of an express messenger
1;S;1;1;animate;no;no;no;no;no;no;45;9.51;1.9;no;-1.855451562;wife;OTHER;letters;1658econ.x2b;1650-1699;1658;wifes concernment
0;OF;2;1;animate;yes;no;no;yes;no;yes;46;1.9;1.9;no;-1.855451562;OTHER;OTHER;letters;1658econ.x2b;1650-1699;1658;the funeral of my lord protector
0;OF;1;1;non-animate;no;no;no;no;no;yes;41;2.46;2.46;yes;-1.825451562;OTHER;manner;letters;1661brwn.x2b;1650-1699;1661;the manner of the french courts
1;S;1;1;animate;no;no;no;no;no;yes;43;2.46;2.46;no;-1.825451562;king;OTHER;letters;1661brwn.x2b;1650-1699;1661;kings sister
1;S;2;2;animate;no;no;no;no;yes;no;48;1.21;2.42;no;-1.795451562;OTHER;OTHER;letters;1664acon.x2b;1650-1699;1664;mr boyles ens veneris
1;S;1;1;animate;yes;yes;no;yes;yes;yes;45;1.59;1.59;no;-1.795451562;OTHER;OTHER;letters;1664more.x2b;1650-1699;1664;hoskins drawing
1;S;1;1;animate;yes;yes;no;yes;yes;no;41;9.57;1.59;no;-1.795451562;ladiship;OTHER;letters;1664more.x2b;1650-1699;1664;your ladiships curiosity
1;S;1;2;animate;no;no;no;no;no;no;43;3.19;3.19;no;-1.795451562;man;day;letters;1664more.x2b;1650-1699;1664;mans well day
0;OF;2;1;non-animate;no;no;no;no;yes;yes;48;3.19;1.59;no;-1.795451562;OTHER;OTHER;letters;1664more.x2b;1650-1699;1664;symptoms of any ague
0;OF;1;1;non-animate;no;no;no;no;yes;yes;40;7.97;1.59;no;-1.795451562;body;OTHER;letters;1664more.x2b;1650-1699;1664;the burden of my body
1;S;1;1;animate;no;no;no;no;yes;yes;44;3.19;7.97;no;-1.795451562;man;body;letters;1664more.x2b;1650-1699;1664;a mans body
0;OF;1;1;non-animate;yes;no;no;yes;yes;yes;44;3.19;1.59;no;-1.795451562;OTHER;OTHER;letters;1664more.x2b;1650-1699;1664;the instrument of the soul
1;S;1;1;animate;no;no;no;no;no;no;45;1.61;3.21;no;-1.785451562;wife;OTHER;letters;1665cavn.x2b;1650-1699;1665;the wifes adultery
0;OF;1;1;non-animate;no;no;no;yes;no;yes;39;9.63;1.61;no;-1.785451562;life;peace;letters;1665cavn.x2b;1650-1699;1665;the peace of this life
0;OF;1;1;non-animate;no;yes;no;yes;yes;yes;41;3.21;1.61;no;-1.785451562;mind;OTHER;letters;1665cavn.x2b;1650-1699;1665;tranquillity of the mind
0;OF;2;1;non-animate;no;yes;no;yes;yes;yes;42;9.63;1.61;no;-1.785451562;life;OTHER;letters;1665cavn.x2b;1650-1699;1665;the glory of a NN-future life
0;OF;2;1;animate;no;no;no;no;yes;yes;45;1.66;1.66;no;-1.785451562;OTHER;death;letters;1665econ.x2b;1650-1699;1665;the death of mr oneile
1;S;1;1;animate;no;no;no;no;yes;no;44;1.66;1.66;no;-1.785451562;king;OTHER;letters;1665econ.x2b;1650-1699;1665;kings bedchamber
0;OF;1;1;animate;no;yes;no;no;yes;no;45;3.8;1.9;no;-1.785451562;family;OTHER;letters;1665gtrk.x2b;1650-1699;1665;the comfort of my family
0;OF;3;1;non-animate;no;no;no;no;no;no;41;5.7;3.8;no;-1.785451562;house;name;letters;1665gtrk.x2b;1650-1699;1665;the name of my lord conways house
1;S;2;1;animate;no;yes;no;no;yes;yes;42;1.9;5.7;no;-1.785451562;OTHER;house;letters;1665gtrk.x2b;1650-1699;1665;my lord conways house
0;OF;2;1;non-animate;no;no;no;no;no;yes;46;1.9;1.9;no;-1.785451562;country;way;letters;1665gtrk.x2b;1650-1699;1665;the way of the queens country
1;S;1;1;animate;no;no;no;no;yes;yes;45;1.9;1.9;no;-1.785451562;queen;OTHER;letters;1665gtrk.x2b;1650-1699;1665;queens country
0;OF;1;1;animate;no;no;no;no;yes;yes;46;0.5;0.5;yes;-1.785451562;inhabitants;OTHER;news;1665int2.n2b;1650-1699;1665;the restoring of the inhabitants
1;S;1;1;animate;yes;no;no;yes;no;no;43;1.49;0.99;no;-1.785451562;majesty;OTHER;news;1665int2.n2b;1650-1699;1665;majesties order
0;OF;1;1;non-animate;yes;no;no;yes;no;no;44;1.98;0.5;no;-1.785451562;OTHER;view;news;1665int2.n2b;1650-1699;1665;view of this coast
1;S;1;1;animate;yes;yes;no;yes;yes;no;45;0.5;0.5;no;-1.785451562;OTHER;name;news;1665int2.n2b;1650-1699;1665;captains name
0;OF;2;1;non-animate;yes;no;yes;yes;yes;yes;43;0.5;0.5;yes;-1.785451562;OTHER;value;news;1665int2.n2b;1650-1699;1665;the value of 1000 dollers
0;OF;1;1;non-animate;no;no;no;no;no;yes;43;2.97;0.5;no;-1.785451562;vessel;OTHER;news;1665int2.n2b;1650-1699;1665;the recovery of his vessel
0;OF;2;1;non-animate;no;no;no;no;no;no;41;0.99;0.99;no;-1.785451562;battle;OTHER;news;1665int2.n2b;1650-1699;1665;the particulars of the late battle
1;S;1;1;animate;no;yes;no;no;yes;no;42;1.49;4.46;no;-1.785451562;majesty;fleet;news;1665int2.n2b;1650-1699;1665;his majesties fleet
0;OF;7;2;non-animate;no;no;no;no;yes;yes;45;2.97;0.99;no;-1.785451562;vessel;loss;news;1665int2.n2b;1650-1699;1665;the loss only of one old dutch vessel recoverd from us
0;OF;1;1;animate;no;no;no;no;no;no;46;3.47;0.5;yes;-1.785451562;dutch;OTHER;news;1665int2.n2b;1650-1699;1665;the rout of the dutch
0;OF;2;2;non-animate;no;no;no;no;yes;no;39;2.97;0.99;no;-1.785451562;ship;OTHER;news;1665int2.n2b;1650-1699;1665;the unexpected firing of opdams ship
1;S;1;1;animate;no;yes;no;no;yes;no;40;0.5;2.97;no;-1.785451562;OTHER;ship;news;1665int2.n2b;1650-1699;1665;opdams ship
0;OF;1;1;non-animate;no;yes;no;no;yes;no;43;0.5;0.5;no;-1.785451562;OTHER;care;news;1665int2.n2b;1650-1699;1665;the care of the work
1;S;1;1;animate;no;yes;no;no;yes;yes;44;0.99;0.99;no;-1.785451562;OTHER;assistance;news;1665int2.n2b;1650-1699;1665;turks assistance
0;OF;4;1;animate;no;no;no;no;yes;yes;44;0.5;0.99;no;-1.785451562;sovereign;return;news;1665int2.n2b;1650-1699;1665;return of our most gratious sovereign
0;OF;2;1;non-animate;no;no;no;no;no;yes;45;0.5;0.5;yes;-1.785451562;OTHER;OTHER;news;1665int2.n2b;1650-1699;1665;the confidence of our colliers
0;OF;2;2;non-animate;no;no;yes;no;no;no;46;0.99;0.5;no;-1.785451562;navy;success;news;1665int2.n2b;1650-1699;1665;the good success of our navy
0;OF;4;1;animate;no;yes;no;no;yes;yes;41;0.5;0.99;no;-1.785451562;OTHER;conduct;news;1665int2.n2b;1650-1699;1665;the conduct of monsieur debizans and tubeuf
0;OF;4;4;animate;no;no;no;no;no;yes;39;1.98;0.5;no;-1.785451562;people;OTHER;news;1665int2.n2b;1650-1699;1665;the very great amazement both of our states and people
0;OF;5;2;non-animate;no;yes;no;no;yes;yes;39;4.46;0.5;no;-1.785451562;fleet;behaviour;news;1665int2.n2b;1650-1699;1665;the unmanly behaviour of one part of our fleet
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;39;2.48;0.5;no;-1.785451562;other;OTHER;news;1665int2.n2b;1650-1699;1665;the misfortune of the other
0;OF;2;1;animate;no;yes;no;no;yes;no;40;0.5;0.5;no;-1.785451562;OTHER;OTHER;news;1665int2.n2b;1650-1699;1665;the fury of the enraged multitude
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;42;3.47;0.5;no;-1.785451562;OTHER;OTHER;news;1665int2.n2b;1650-1699;1665;the 2d of the last
0;OF;1;1;non-animate;no;no;no;no;yes;no;43;0.99;0.5;yes;-1.785451562;OTHER;OTHER;news;1665int2.n2b;1650-1699;1665;the west of algiers
1;S;1;1;animate;no;no;no;no;no;no;39;0.99;0.5;no;-1.785451562;duke;provisions;news;1665int2.n2b;1650-1699;1665;the dukes provisions
0;OF;1;1;non-animate;no;no;no;no;yes;yes;44;0.93;0.47;no;-1.785451562;war;consequence;news;1665inte.n2b;1650-1699;1665;consequence of this war
0;OF;1;1;non-animate;no;no;no;no;yes;no;46;0.47;0.47;no;-1.785451562;OTHER;continuance;news;1665inte.n2b;1650-1699;1665;the continuance of the pest
0;OF;1;3;non-animate;no;yes;no;no;yes;no;43;0.93;1.87;yes;-1.785451562;france;OTHER;news;1665inte.n2b;1650-1699;1665;the most eminent persons of france
1;S;1;1;animate;no;yes;no;no;yes;yes;46;0.47;0.47;no;-1.785451562;pope;OTHER;news;1665inte.n2b;1650-1699;1665;the popes nuncio
1;S;2;1;animate;no;no;no;no;yes;no;45;0.47;0.47;no;-1.785451562;OTHER;OTHER;news;1665inte.n2b;1650-1699;1665;monsieur benningens negotiation
0;OF;1;1;animate;no;no;no;no;yes;no;44;2.33;0.47;no;-1.785451562;people;satisfaction;news;1665inte.n2b;1650-1699;1665;the satisfaction of the people
1;S;3;1;non-animate;no;yes;no;no;yes;yes;46;0.47;0.93;yes;-1.785451562;OTHER;arrival;news;1665inte.n2b;1650-1699;1665;our simirna fleets arrival
0;OF;1;1;animate;no;no;no;no;no;yes;46;6.07;0.47;no;-1.785451562;OTHER;OTHER;news;1665inte.n2b;1650-1699;1665;the backwardness of some
0;OF;1;2;animate;no;yes;no;no;yes;yes;43;2.33;8.4;yes;-1.785451562;others;will;news;1665inte.n2b;1650-1699;1665;the ill will of others
0;OF;1;1;non-animate;no;yes;no;no;yes;no;42;0.47;0.47;no;-1.785451562;OTHER;OTHER;news;1665inte.n2b;1650-1699;1665;the busines of maltha
0;OF;1;1;non-animate;no;no;no;no;yes;yes;47;0.93;0.47;no;-1.785451562;OTHER;OTHER;news;1665inte.n2b;1650-1699;1665;the summe of the quarrel
0;OF;2;1;non-animate;no;yes;no;no;yes;yes;44;0.47;0.47;no;-1.785451562;battle;decision;news;1665inte.n2b;1650-1699;1665;the decision of a bloody battle
0;OF;1;1;non-animate;no;yes;no;no;yes;no;40;0.93;0.47;no;-1.785451562;cause;OTHER;news;1665inte.n2b;1650-1699;1665;the reputation of the cause
0;OF;2;4;non-animate;no;yes;no;no;yes;yes;42;0.47;0.47;no;-1.785451562;OTHER;OTHER;news;1665inte.n2b;1650-1699;1665;the miserable hazzards and inconveniences of the northern passage
0;OF;2;1;non-animate;no;no;no;no;no;no;45;0.47;0.47;yes;-1.785451562;OTHER;OTHER;news;1665inte.n2b;1650-1699;1665;the ordering of the new crusers
0;OF;4;1;animate;no;no;no;no;yes;no;47;0.47;0.47;yes;-1.785451562;OTHER;OTHER;news;1665inte.n2b;1650-1699;1665;the bodies of all the quakers presented
1;S;1;1;animate;no;yes;no;no;yes;yes;39;0.93;0.93;no;-1.785451562;king;ship;news;1665inte.n2b;1650-1699;1665;a kings ship
1;S;1;1;animate;no;no;no;no;no;no;44;0.93;0.47;no;-1.785451562;majesty;supply;news;1665inte.n2b;1650-1699;1665;majestys supply
0;OF;8;2;animate;yes;no;no;yes;no;yes;44;0.47;0.47;no;-1.785451562;OTHER;son;news;1665inte.n2b;1650-1699;1665;the third son of the right honourable the lord high chaucellor of england
0;OF;1;2;non-animate;yes;yes;no;yes;yes;yes;44;0.47;1.87;no;-1.785451562;age;OTHER;news;1665inte.n2b;1650-1699;1665;the 19th year of his age
0;OF;3;1;animate;no;yes;no;no;yes;no;40;0.47;0.47;no;-1.785451562;OTHER;loss;news;1665inte.n2b;1650-1699;1665;the loss of the most hopeful youth
0;OF;3;2;animate;no;no;no;no;yes;no;44;0.47;0.93;yes;-1.785451562;OTHER;arrival;news;1665inte.n2b;1650-1699;1665;the late arrival of our great councellors
0;OF;1;1;non-animate;no;no;no;no;no;yes;20;1.95;1.95;yes;-1.775451562;place;distance;letters;1666cavn.x2b;1650-1699;1666;distance of place
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;24;3.9;1.95;no;-1.775451562;OTHER;length;letters;1666cavn.x2b;1650-1699;1666;length of time
1;S;1;1;animate;no;no;no;no;yes;no;32;1.95;1.95;no;-1.775451562;OTHER;OTHER;letters;1666cavn.x2b;1650-1699;1666;sancapanchas doctor
0;OF;1;3;non-animate;no;no;no;no;no;no;39;3.9;1.95;no;-1.775451562;life;endeavours;letters;1666cavn.x2b;1650-1699;1666;the powers and endeavours of my life
0;OF;1;1;animate;no;no;no;no;no;no;41;10.53;3.51;no;-1.775451562;court;OTHER;letters;1666gtrk.x2b;1650-1699;1666;the mouths of the court
0;OF;3;1;non-animate;no;yes;no;yes;yes;no;43;3.51;3.51;no;-1.775451562;OTHER;OTHER;letters;1666gtrk.x2b;1650-1699;1666;the confirmation of their majesties belief
1;S;2;1;animate;no;yes;no;yes;yes;no;42;3.52;3.51;no;-1.775451562;majesty;OTHER;letters;1666gtrk.x2b;1650-1699;1666;their majesties belief
0;OF;2;1;animate;yes;yes;no;yes;yes;no;44;3.51;3.51;no;-1.775451562;people;OTHER;letters;1666gtrk.x2b;1650-1699;1666;the admiration of all people
0;OF;6;1;non-animate;no;no;no;no;no;yes;41;3.51;3.51;no;-1.775451562;OTHER;hands;letters;1666gtrk.x2b;1650-1699;1666;the hands of 3 or 4 doctors of physic
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;42;3.51;3.51;no;-1.775451562;world;OTHER;letters;1666gtrk.x2b;1650-1699;1666;the happiness of this world
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;43;2.45;2.45;yes;-1.765451562;OTHER;OTHER;letters;1667bain.x2b;1650-1699;1667;the forme of those thinges
1;S;1;3;animate;no;yes;no;no;no;no;43;2.45;2.45;no;-1.765451562;lordship;OTHER;letters;1667bain.x2b;1650-1699;1667;your lordshippes most noble brest
1;S;1;6;animate;no;no;no;no;no;yes;47;2.45;2.45;no;-1.765451562;lordship;servant;letters;1667bain.x2b;1650-1699;1667;your lordships most obedient and most obliged servant
1;S;1;1;animate;yes;no;no;yes;no;yes;39;2.45;2.45;no;-1.765451562;lordship;mother;letters;1667bain.x2b;1650-1699;1667;your lordshippes mother
1;S;1;1;animate;no;no;no;no;no;yes;33;20.65;1.47;no;-1.765451562;lordship;OTHER;letters;1667finc.x2b;1650-1699;1667;your lordships pardon
1;S;1;1;animate;no;yes;no;no;yes;no;38;20.65;2.95;no;-1.765451562;lordship;OTHER;letters;1667finc.x2b;1650-1699;1667;your lordships esteem
0;OF;2;6;non-animate;yes;no;no;yes;no;yes;35;1.47;1.47;no;-1.765451562;OTHER;account;letters;1667finc.x2b;1650-1699;1667;the account i send my lord chancellour of a troublesome affayr
0;OF;1;1;non-animate;no;no;no;yes;no;no;37;1.47;1.47;no;-1.765451562;OTHER;continuation;letters;1667finc.x2b;1650-1699;1667;the continuation of my discourse
1;S;1;10;animate;no;yes;no;no;yes;yes;45;20.65;2.95;no;-1.765451562;lordship;OTHER;letters;1667finc.x2b;1650-1699;1667;your lordships most humble and most obedient servant and most affectionate brother
0;OF;2;7;non-animate;no;yes;no;no;yes;no;39;1.47;2.95;no;-1.765451562;OTHER;OTHER;letters;1667finc.x2b;1650-1699;1667;the former sheet in mine to your lordship of march 18/28
0;OF;1;1;non-animate;no;no;no;no;yes;yes;44;1.47;1.47;no;-1.765451562;OTHER;OTHER;letters;1667finc.x2b;1650-1699;1667;the faculties of my soul
0;OF;1;3;non-animate;no;no;no;no;yes;yes;38;4.42;1.47;no;-1.765451562;world;OTHER;letters;1667finc.x2b;1650-1699;1667;the power and riches of the world
0;OF;3;2;animate;no;yes;no;no;yes;no;43;2.62;2.62;yes;-1.765451562;ones;motions;letters;1667temp.x2b;1650-1699;1667;the busy motions of many small ones
0;OF;1;4;non-animate;no;yes;no;no;yes;no;43;2.62;2.62;no;-1.765451562;OTHER;OTHER;letters;1667temp.x2b;1650-1699;1667;the style and the quiet of that scene
0;OF;2;4;non-animate;no;yes;no;no;yes;no;43;2.62;2.62;no;-1.765451562;court;OTHER;letters;1667temp.x2b;1650-1699;1667;the very rest and idleness of that roman court
0;OF;2;1;animate;no;no;no;yes;yes;no;45;1.56;1.56;yes;-1.755451562;OTHER;OTHER;letters;1668bain.x2b;1650-1699;1668;the freeing of two banditos
1;S;2;1;animate;no;yes;no;no;yes;yes;40;1.56;1.56;no;-1.755451562;OTHER;house;letters;1668bain.x2b;1650-1699;1668;the embassadours house
1;S;1;1;animate;yes;yes;no;yes;yes;yes;43;3.115264798;3.12;no;-1.755451562;OTHER;OTHER;letters;1668bain.x2b;1650-1699;1668;the pilgrimes feet
0;OF;2;2;animate;no;no;no;no;yes;yes;47;1.56;1.56;no;-1.755451562;OTHER;OTHER;letters;1668bain.x2b;1650-1699;1668;the strong castell of saint angelo
1;S;1;1;animate;no;yes;no;no;no;yes;46;7.788161994;4.67;no;-1.755451562;lordship;letter;letters;1668bain.x2b;1650-1699;1668;your lordshippes letter
0;OF;3;1;non-animate;no;no;no;no;no;yes;45;1.56;1.56;no;-1.755451562;OTHER;OTHER;letters;1668bain.x2b;1650-1699;1668;the handes of the new roman militia
0;OF;4;3;non-animate;no;no;no;no;yes;no;41;1.56;1.56;no;-1.755451562;OTHER;OTHER;letters;1668bain.x2b;1650-1699;1668;the comfort and assurance of your ancient love and favour
1;S;1;6;animate;no;no;no;no;no;no;38;1.56;1.56;no;-1.755451562;OTHER;servant;letters;1668bain.x2b;1650-1699;1668;your honours most faithful and most obedient servant
1;S;1;1;animate;no;yes;no;no;yes;yes;44;3.120124805;3.12;no;-1.755451562;OTHER;OTHER;letters;1668bain.x2b;1650-1699;1668;the pilgrimes feet
0;OF;1;1;non-animate;no;no;no;no;no;no;42;3.38;1.69;no;-1.755451562;year;OTHER;letters;1668temp.x2b;1650-1699;1668;the season of the year
0;OF;1;2;non-animate;no;no;no;no;yes;yes;41;1.69;1.69;no;-1.755451562;OTHER;OTHER;letters;1668temp.x2b;1650-1699;1668;the constant professions of that duty
0;OF;1;2;animate;no;no;no;no;yes;no;43;10.14;1.69;no;-1.755451562;majesty;interest;letters;1668temp.x2b;1650-1699;1668;the true interest of his majesty
0;OF;1;1;non-animate;no;no;no;no;no;no;9;0.43;0.43;no;-1.715451562;OTHER;OTHER;news;1672lon1.n2b;1650-1699;1672;the hope of totterdam
