depvar;depvar_binary;genitive_type;por_length_words;pum_length_words;animacy;alpha_persistence_S;alpha_persistence_OF;alpha_persistence_NN;beta_persistence_S;beta_persistence_OF;beta_persistence_NN;TTR;por_thematicity_ptw;pum_thematicity_ptw;final_sibilancy;time;por_head_noun;pum_head_noun;register;filename;period;year;gen_phrase
2;0;S;2;1;non-animate;no;no;no;no;no;yes;47;7.74;5.8;yes;-1.905451562;OTHER;OTHER;letters;1653finc.x2b;1650-1699;1653;14 dayes sicknesse
1;0;OF;1;3;non-animate;yes;no;no;yes;no;no;47;0.49;0.49;no;-1.905451562;town;ministers;news;1653merc.n2b;1650-1699;1653;the magistrates and ministers of the town
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;44;0.49;0.97;no;-1.905451562;OTHER;use;news;1653merc.n2b;1650-1699;1653;the use of the navy
3;1;NN;1;1;non-animate;no;yes;no;no;yes;yes;43;0.97;2.43;no;-1.905451562;OTHER;court;news;1653merc.n2b;1650-1699;1653;NN-hampton court
3;1;NN;1;1;non-animate;no;no;yes;no;yes;yes;34;0.97;2.43;no;-1.905451562;OTHER;court;news;1653merc.n2b;1650-1699;1653;NN-hampton court
1;0;OF;3;1;non-animate;no;yes;no;no;yes;yes;43;2.43;0.49;no;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;the manner of one families murder
1;0;OF;1;3;non-animate;no;no;no;no;yes;yes;41;0.97;0.49;no;-1.905451562;water;OTHER;news;1653merc.n2b;1650-1699;1653;the carrying and conveying of water
2;0;S;1;1;non-animate;no;yes;no;no;yes;yes;40;3.89;0.49;no;-1.905451562;parliament;OTHER;news;1653merc.n2b;1650-1699;1653;the parliaments printer
1;0;OF;3;1;non-animate;no;yes;no;no;yes;no;42;0.49;0.49;yes;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;the introduction of more heavie taxes
3;1;NN;1;1;animate;no;yes;no;no;no;yes;39;1.65;1.65;no;-1.905451562;OTHER;OTHER;letters;1653osbn.x2b;1650-1699;1653;NN-god sake
1;0;OF;1;1;non-animate;no;no;no;no;yes;yes;38;1.82;1.82;no;-1.895451562;council;OTHER;news;1654mer2.n2b;1650-1699;1654;the lords of the council
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;44;1.82;1.82;no;-1.895451562;council;OTHER;news;1654mer2.n2b;1650-1699;1654;the lords of the council
1;0;OF;3;1;non-animate;no;yes;no;no;yes;yes;41;1.82;1.21;no;-1.895451562;company;OTHER;news;1654mer2.n2b;1650-1699;1654;the merchants of the east NN-india company
3;1;NN;2;1;non-animate;no;yes;no;no;yes;yes;41;0.61;1.82;no;-1.895451562;OTHER;company;news;1654mer2.n2b;1650-1699;1654;the east NN-india company
1;0;OF;1;2;non-animate;no;yes;no;no;yes;no;42;0.61;1.82;no;-1.895451562;parliament;OTHER;news;1654mer2.n2b;1650-1699;1654;the first sitting of the parliament
1;0;OF;1;1;non-animate;yes;yes;no;yes;yes;no;41;1.21;0.61;no;-1.895451562;city;OTHER;news;1654mer2.n2b;1650-1699;1654;the guard of the city
1;0;OF;1;2;non-animate;no;yes;no;no;yes;yes;44;0.61;3.04;yes;-1.895451562;OTHER;sides;news;1654mer2.n2b;1650-1699;1654;both sides of the streets
3;1;NN;1;1;non-animate;no;no;no;no;yes;no;45;1.21;0.61;no;-1.895451562;sea;OTHER;news;1654mer2.n2b;1650-1699;1654;the NN-sea coasts
1;0;OF;1;1;non-animate;yes;no;no;yes;no;no;41;3.21;3.21;no;-1.785451562;OTHER;OTHER;letters;1665cavn.x2b;1650-1699;1665;the defects of the mind
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;44;4.82;1.61;no;-1.785451562;OTHER;OTHER;letters;1665cavn.x2b;1650-1699;1665;the balsam of honour
3;1;NN;1;1;non-animate;no;yes;no;yes;yes;yes;41;1.61;9.63;no;-1.785451562;future;OTHER;letters;1665cavn.x2b;1650-1699;1665;a NN-future life
1;0;OF;2;1;non-animate;no;yes;yes;no;yes;yes;42;3.21;1.61;yes;-1.785451562;OTHER;OTHER;letters;1665cavn.x2b;1650-1699;1665;the troubles of their minds
1;0;OF;1;1;non-animate;no;no;no;no;no;yes;42;1.61;1.61;no;-1.785451562;OTHER;OTHER;letters;1665cavn.x2b;1650-1699;1665;the antidote of virtue
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;44;1.61;1.61;yes;-1.785451562;OTHER;spirit;letters;1665cavn.x2b;1650-1699;1665;the spirit of grace
3;1;NN;1;1;non-animate;no;no;no;no;no;no;45;0.99;0.5;no;-1.785451562;OTHER;OTHER;news;1665int2.n2b;1650-1699;1665;NN-day break
1;0;OF;1;1;animate;no;yes;no;no;yes;no;44;0.47;0.47;yes;-1.785451562;OTHER;OTHER;news;1665inte.n2b;1650-1699;1665;the college of jesuits
1;0;OF;1;2;non-animate;no;yes;no;no;yes;no;46;0.47;0.47;yes;-1.785451562;OTHER;OTHER;news;1665inte.n2b;1650-1699;1665;the late suspension of commerce
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;46;0.47;1.4;no;-1.785451562;OTHER;OTHER;news;1665inte.n2b;1650-1699;1665;the business of avignon
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;43;0.47;0.47;no;-1.785451562;OTHER;establishment;news;1665inte.n2b;1650-1699;1665;the establishment of a rule
1;0;OF;1;1;animate;no;no;no;no;yes;yes;44;0.47;0.47;yes;-1.785451562;OTHER;OTHER;news;1665inte.n2b;1650-1699;1665;the promotion of cardinals
2;0;S;1;1;animate;no;yes;no;no;yes;yes;41;1.95;29.24;no;-1.775451562;OTHER;OTHER;letters;1666cavn.x2b;1650-1699;1666;a sisters love
3;1;NN;1;6;non-animate;no;no;no;yes;yes;no;39;1.95;5.85;no;-1.775451562;OTHER;OTHER;letters;1666cavn.x2b;1650-1699;1666;your NN-closet door when i thought you were
1;0;OF;1;1;non-animate;no;no;no;no;no;yes;44;2.95;1.47;yes;-1.765451562;OTHER;OTHER;letters;1667finc.x2b;1650-1699;1667;the multiplicity of dispatches
3;1;NN;2;1;non-animate;no;yes;no;no;no;no;43;2.62;2.62;no;-1.765451562;OTHER;OTHER;letters;1667temp.x2b;1650-1699;1667;their NN-winter quarters
3;1;NN;1;1;non-animate;no;no;no;no;yes;yes;44;1.56;1.56;no;-1.755451562;OTHER;OTHER;letters;1668bain.x2b;1650-1699;1668;the NN-prison doores
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;48;3.03;0.43;no;-1.715451562;court;OTHER;news;1672lon1.n2b;1650-1699;1672;the proceedings of the court
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;43;0.43;0.43;no;-1.715451562;OTHER;OTHER;news;1672lon1.n2b;1650-1699;1672;the reasons of this his refusal
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;42;0.43;0.87;yes;-1.715451562;OTHER;OTHER;news;1672lon1.n2b;1650-1699;1672;the interest of moneys
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;21;0.43;0.87;no;-1.715451562;OTHER;OTHER;news;1672lon1.n2b;1650-1699;1672;the oak of amsterdam
1;0;OF;4;2;non-animate;no;no;no;no;yes;no;43;1.73;1.3;no;-1.715451562;OTHER;OTHER;news;1672lon1.n2b;1650-1699;1672;first captain of the marquis of granas regiment
1;0;OF;1;1;animate;no;no;no;no;yes;no;44;6.49;0.43;no;-1.715451562;OTHER;OTHER;news;1672lon1.n2b;1650-1699;1672;the raising of men
1;0;OF;3;1;non-animate;no;yes;no;yes;yes;yes;43;0.43;0.43;no;-1.715451562;council;assembly;news;1672lon1.n2b;1650-1699;1672;the assembly of the council of state
2;0;S;1;1;non-animate;no;yes;no;no;yes;yes;48;2.6;0.87;no;-1.715451562;state;OTHER;news;1672lon1.n2b;1650-1699;1672;the states account
1;0;OF;1;1;animate;no;yes;no;no;yes;yes;44;0.43;0.43;no;-1.715451562;enemy;OTHER;news;1672lon1.n2b;1650-1699;1672;the approach of an enemy
3;1;NN;1;1;animate;no;yes;no;no;yes;no;44;1.3;0.43;no;-1.715451562;OTHER;OTHER;news;1672lon1.n2b;1650-1699;1672;the NN-publick expences
1;0;OF;1;1;non-animate;yes;yes;no;yes;yes;yes;42;0.43;0.43;no;-1.715451562;war;OTHER;news;1672lon2.n2b;1650-1699;1672;prisoners of war
2;0;S;2;1;animate;no;yes;no;no;yes;no;41;0.43;0.43;no;-1.715451562;OTHER;OTHER;news;1672lon2.n2b;1650-1699;1672;witts party
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;31;3.46;1.3;no;-1.715451562;OTHER;head;news;1672lon2.n2b;1650-1699;1672;the head of the barge
2;0;S;1;1;animate;no;yes;no;no;yes;yes;35;1.73;1.3;no;-1.715451562;OTHER;OTHER;news;1672lon2.n2b;1650-1699;1672;an earls coronet
1;0;OF;1;1;non-animate;yes;yes;yes;yes;yes;yes;34;0.87;0.87;no;-1.715451562;union;flag;news;1672lon2.n2b;1650-1699;1672;the flag of union
1;0;OF;1;1;non-animate;yes;yes;yes;yes;yes;yes;35;3.46;0.43;no;-1.715451562;OTHER;OTHER;news;1672lon2.n2b;1650-1699;1672;the tope of the barge
1;0;OF;1;2;non-animate;yes;yes;yes;yes;yes;yes;43;0.87;1.3;no;-1.715451562;city;OTHER;news;1672lon2.n2b;1650-1699;1672;the several companies of the city
1;0;OF;1;1;non-animate;no;yes;no;yes;yes;no;37;0.87;0.87;no;-1.715451562;union;flag;news;1672lon2.n2b;1650-1699;1672;the flag of the union
2;0;S;3;1;animate;yes;no;no;yes;yes;yes;45;0.43;0.43;no;-1.715451562;OTHER;OTHER;news;1672lon2.n2b;1650-1699;1672;henry the sevenths chappel
1;0;OF;1;2;non-animate;yes;no;no;yes;yes;yes;42;0.87;0.87;no;-1.715451562;OTHER;side;news;1672lon2.n2b;1650-1699;1672;the north side of the quire
1;0;OF;2;1;animate;no;no;no;no;yes;no;45;1.3;0.87;no;-1.715451562;OTHER;part;news;1672lon2.n2b;1650-1699;1672;the part of the states
2;0;S;1;1;non-animate;no;yes;no;no;yes;no;44;1.3;1.3;no;-1.715451562;state;OTHER;news;1672lon2.n2b;1650-1699;1672;the states general
2;0;S;2;1;animate;no;yes;no;no;yes;yes;43;3.03;3.46;yes;-1.715451562;OTHER;OTHER;news;1672lon2.n2b;1650-1699;1672;oranges camp
1;0;OF;1;1;animate;yes;no;no;yes;yes;yes;41;1.73;0.43;yes;-1.715451562;OTHER;OTHER;news;1672lon2.n2b;1650-1699;1672;the introductor of ambassadors
1;0;OF;2;1;non-animate;no;yes;no;no;yes;no;40;0.52;0.52;yes;-1.695451562;OTHER;OTHER;science;1674ano1.s2b;1650-1699;1674;the loopes of the two hinges
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;31;1.57;1.05;yes;-1.695451562;OTHER;OTHER;science;1674ano1.s2b;1650-1699;1674;the handles of these hammers
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;34;6.28;5.23;no;-1.695451562;OTHER;end;science;1674ano1.s2b;1650-1699;1674;the end of the knife
1;0;OF;1;2;non-animate;no;no;no;no;yes;no;42;6.28;5.23;no;-1.695451562;OTHER;end;science;1674ano1.s2b;1650-1699;1674;the other end of the knife
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;41;3.14;5.23;no;-1.695451562;OTHER;end;science;1674ano1.s2b;1650-1699;1674;the end of the engin
1;0;OF;1;1;non-animate;no;no;yes;no;no;yes;38;0.52;0.52;no;-1.695451562;OTHER;OTHER;science;1674ano1.s2b;1650-1699;1674;an extract of a letter
1;0;OF;3;2;non-animate;no;yes;yes;no;yes;yes;40;2.09;4.18;yes;-1.695451562;OTHER;part;science;1674ano1.s2b;1650-1699;1674;the first part of his tables of snails
1;0;OF;2;2;non-animate;no;yes;no;no;yes;yes;37;0.52;0.52;no;-1.695451562;shell;OTHER;science;1674ano1.s2b;1650-1699;1674;the lively figure of each shell
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;42;0.52;4.18;no;-1.695451562;table;part;science;1674ano1.s2b;1650-1699;1674;that part of the table
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;44;0.52;1.05;no;-1.695451562;earth;surface;science;1674ano1.s2b;1650-1699;1674;the surface of the earth
1;0;OF;2;1;non-animate;no;yes;no;no;yes;no;34;0.52;0.52;no;-1.695451562;OTHER;OTHER;science;1674ano1.s2b;1650-1699;1674;the way of fatting snails
1;0;OF;3;1;non-animate;no;yes;no;no;yes;no;41;2.09;0.52;no;-1.695451562;c;OTHER;science;1674ano1.s2b;1650-1699;1674;whitening of wax hair c
1;0;OF;2;1;animate;no;yes;no;no;yes;no;40;4.71;1.05;yes;-1.695451562;OTHER;OTHER;science;1674ano1.s2b;1650-1699;1674;the figures of the naked snails
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;43;0.52;0.52;yes;-1.695451562;OTHER;value;science;1674ano1.s2b;1650-1699;1674;the value of under-woods
1;0;OF;1;2;non-animate;no;yes;no;no;yes;no;43;1.05;0.52;yes;-1.695451562;plants;salts;science;1674ano1.s2b;1650-1699;1674;fixd salts of plants
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;44;1.57;0.52;no;-1.695451562;OTHER;description;science;1674ano1.s2b;1650-1699;1674;the description of the engine
1;0;OF;1;1;non-animate;no;no;no;no;no;no;40;4.18;0.52;no;-1.695451562;OTHER;length;science;1674ano1.s2b;1650-1699;1674;the length of the block
1;0;OF;1;1;non-animate;no;no;no;no;no;no;9;5.37;0.98;no;-1.695451562;air;compression;science;1674leew.s2b;1650-1699;1674;the compression of the air
3;1;NN;1;1;non-animate;no;yes;no;no;yes;yes;43;1.47;2.44;no;-1.695451562;OTHER;OTHER;science;1674leew.s2b;1650-1699;1674;the NN-exterior pipe
3;1;NN;1;1;non-animate;no;yes;no;no;yes;yes;39;1.47;3.91;no;-1.695451562;OTHER;OTHER;science;1674leew.s2b;1650-1699;1674;the NN-exterior glass
3;1;NN;1;1;non-animate;no;no;no;no;yes;no;40;1.47;2.44;no;-1.695451562;OTHER;OTHER;science;1674leew.s2b;1650-1699;1674;the NN-exterior pipe
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;23;5.37;0.98;no;-1.695451562;air;compression;science;1674leew.s2b;1650-1699;1674;the compression of the air
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;46;3.42;0.49;no;-1.695451562;earth;OTHER;science;1674leew.s2b;1650-1699;1674;the caverns of the earth
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;41;9.77;3.91;no;-1.695451562;water;quantity;science;1674leew.s2b;1650-1699;1674;the quantity of water
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;45;0.49;0.49;yes;-1.695451562;OTHER;OTHER;science;1674leew.s2b;1650-1699;1674;flame of lamps
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;44;0.49;0.98;no;-1.695451562;OTHER;spirit;science;1674leew.s2b;1650-1699;1674;spirit of wine
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;40;3.91;0.98;yes;-1.695451562;glass;diameter;science;1674leew.s2b;1650-1699;1674;the diameter of my glass
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;34;3.55;0.51;no;-1.685451562;OTHER;compression;science;1675ai--.s2b;1650-1699;1675;the compression of the bladder
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;35;12.68;2.03;no;-1.685451562;water;top;science;1675ai--.s2b;1650-1699;1675;the top of the water
1;0;OF;2;1;animate;no;yes;no;no;yes;no;37;2.54;1.01;yes;-1.685451562;OTHER;OTHER;science;1675ai--.s2b;1650-1699;1675;the bodies of all fishes
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;37;12.68;2.03;no;-1.685451562;water;depth;science;1675ai--.s2b;1650-1699;1675;the depth of water
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;40;1.01;1.01;no;-1.685451562;OTHER;neck;science;1675ai--.s2b;1650-1699;1675;the neck of the bolthead
3;1;NN;1;1;non-animate;no;no;yes;no;yes;yes;38;2.03;0.51;no;-1.685451562;OTHER;OTHER;science;1675ai--.s2b;1650-1699;1675;a NN-limon pulp
3;1;NN;2;1;non-animate;no;yes;no;no;yes;no;33;0.51;6.59;no;-1.685451562;OTHER;weight;science;1675ai--.s2b;1650-1699;1675;two NN-pound weight
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;45;1.52;0.51;no;-1.685451562;OTHER;OTHER;science;1675ai--.s2b;1650-1699;1675;the generation of the seed
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;42;0.51;0.51;no;-1.685451562;OTHER;OTHER;science;1675ai--.s2b;1650-1699;1675;the closeness of the inoculation
1;0;OF;2;2;non-animate;no;yes;no;no;yes;no;38;1.01;1.52;yes;-1.685451562;trees;nature;science;1675ai--.s2b;1650-1699;1675;the mixed nature of both trees
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;46;0.51;1.01;yes;-1.685451562;OTHER;OTHER;science;1675ai--.s2b;1650-1699;1675;the grounds of the hydrostaticks
1;0;OF;2;1;non-animate;no;no;no;no;no;no;11;3.45;0.49;no;-1.685451562;OTHER;OTHER;science;1675ano2.s2b;1650-1699;1675;the matter of the north-east passage
1;0;OF;4;1;non-animate;no;no;no;no;yes;no;45;0.49;0.99;no;-1.685451562;world;OTHER;science;1675ano2.s2b;1650-1699;1675;the trade of almost all the world
1;0;OF;4;1;non-animate;no;yes;no;no;yes;no;42;0.99;1.97;yes;-1.685451562;OTHER;governours;science;1675ano2.s2b;1650-1699;1675;the governours of the east and west-indian companies
1;0;OF;3;1;non-animate;no;yes;no;no;yes;no;35;0.49;0.99;yes;-1.685451562;OTHER;OTHER;science;1675ano2.s2b;1650-1699;1675;the trade of the mediterranean and baltick-seas
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;38;0.49;3.94;yes;-1.685451562;OTHER;OTHER;science;1675ano2.s2b;1650-1699;1675;the navigation of the northern-seas
1;0;OF;2;1;non-animate;no;yes;no;no;yes;no;35;2.46;1.97;no;-1.685451562;company;governours;science;1675ano2.s2b;1650-1699;1675;the governours of the east-indians company
1;0;OF;3;1;non-animate;no;no;no;no;yes;no;46;2.46;1.97;no;-1.685451562;company;governours;science;1675ano2.s2b;1650-1699;1675;the governours of the dutch east-indian company
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;42;1.48;0.49;no;-1.685451562;OTHER;middle;science;1675ano2.s2b;1650-1699;1675;the middle of the gulf
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;42;0.49;0.49;yes;-1.685451562;OTHER;OTHER;science;1675ano2.s2b;1650-1699;1675;the credit of this assertions
1;0;OF;2;1;non-animate;no;no;no;no;no;yes;42;2.46;1.97;no;-1.685451562;company;governours;science;1675ano2.s2b;1650-1699;1675;the governours of the east-india company
3;1;NN;1;1;non-animate;no;yes;no;no;yes;yes;46;0.49;0.49;no;-1.685451562;OTHER;OTHER;science;1675ano2.s2b;1650-1699;1675;the NN-muscovite itineraries
1;0;OF;2;1;non-animate;no;yes;no;no;yes;yes;37;0.49;1.97;yes;-1.685451562;OTHER;OTHER;science;1675ano2.s2b;1650-1699;1675;the space of fourteen days
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;36;7.89;0.49;no;-1.685451562;sea;neighbourhood;science;1675ano2.s2b;1650-1699;1675;the neighbourhood of the sea
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;37;7.89;2.46;no;-1.685451562;sea;OTHER;science;1675ano2.s2b;1650-1699;1675;the arm of sea
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;43;1.97;0.49;no;-1.685451562;OTHER;OTHER;science;1675ano2.s2b;1650-1699;1675;the measure of longitude
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;39;1.97;0.49;no;-1.685451562;OTHER;OTHER;science;1675ano2.s2b;1650-1699;1675;the moments of longitude
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;39;1.97;0.49;no;-1.685451562;OTHER;OTHER;science;1675ano2.s2b;1650-1699;1675;the observation of his longitude
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;37;0.49;0.49;no;-1.685451562;march;OTHER;science;1675ano2.s2b;1650-1699;1675;the month of march
3;1;NN;4;1;non-animate;no;yes;no;no;yes;no;39;0.99;1.97;yes;-1.685451562;OTHER;OTHER;science;1675ano2.s2b;1650-1699;1675;twelve or thirteen NN-daies space
1;0;OF;1;2;non-animate;no;yes;no;no;yes;no;41;0.49;0.99;no;-1.685451562;summer;end;science;1675ano2.s2b;1650-1699;1675;the latter end of summer
1;0;OF;1;1;non-animate;no;yes;yes;no;yes;yes;39;0.5;0.5;yes;-1.685451562;trees;height;science;1675beal.s2b;1650-1699;1675;height of trees
3;1;NN;1;1;non-animate;no;yes;no;no;yes;no;39;0.5;1.01;no;-1.685451562;OTHER;OTHER;science;1675beal.s2b;1650-1699;1675;NN-salisbury plains
1;0;OF;1;1;non-animate;no;no;yes;no;yes;no;43;0.5;0.5;no;-1.685451562;OTHER;OTHER;science;1675beal.s2b;1650-1699;1675;the juyce of a plant
1;0;OF;3;1;non-animate;no;no;yes;no;no;yes;46;1.51;1.51;no;-1.685451562;OTHER;difference;science;1675beal.s2b;1650-1699;1675;the difference of heat and cold
3;1;NN;1;1;non-animate;no;no;no;no;yes;no;40;1.51;1.01;no;-1.685451562;OTHER;depth;science;1675beal.s2b;1650-1699;1675;a NN-foot depth
1;0;OF;1;1;non-animate;no;no;no;no;no;no;44;3.03;1.51;yes;-1.685451562;OTHER;difference;science;1675beal.s2b;1650-1699;1675;difference of stones
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;42;3.03;0.5;no;-1.685451562;land;OTHER;science;1675beal.s2b;1650-1699;1675;the fertility of the land
1;0;OF;1;1;non-animate;no;yes;yes;no;yes;yes;41;0.5;0.5;no;-1.685451562;OTHER;OTHER;science;1675beal.s2b;1650-1699;1675;the wine of the grape
1;0;OF;3;1;non-animate;no;yes;yes;no;yes;yes;38;0.5;1.01;no;-1.685451562;OTHER;OTHER;science;1675beal.s2b;1650-1699;1675;the return of gain from NN-gardens
1;0;OF;2;1;non-animate;no;no;no;no;yes;yes;41;1.01;0.5;yes;-1.685451562;OTHER;OTHER;science;1675beal.s2b;1650-1699;1675;the tops of some hills
1;0;OF;1;1;non-animate;no;yes;yes;no;yes;no;38;1.47;0.49;yes;-1.685451562;metals;OTHER;science;1675br--.s2b;1650-1699;1675;the transmutation of metals
1;0;OF;2;1;non-animate;no;yes;yes;no;yes;no;36;1.96;0.49;no;-1.685451562;OTHER;OTHER;science;1675br--.s2b;1650-1699;1675;the finger of my right hand
3;1;NN;1;1;non-animate;no;yes;no;no;yes;no;39;3.26;1.63;no;-1.685451562;country;OTHER;science;1675hook;1650-1699;1675;NN-country men
1;0;OF;1;1;non-animate;no;no;no;no;no;no;41;3.8;1.09;no;-1.685451562;sea;OTHER;science;1675hook;1650-1699;1675;the wash of the sea
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;43;1.09;1.09;yes;-1.685451562;OTHER;OTHER;science;1675hook;1650-1699;1675;the grating of stones
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;41;0.54;0.54;yes;-1.685451562;OTHER;OTHER;science;1675hook;1650-1699;1675;the breaking of muscles
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;40;0.54;0.54;yes;-1.685451562;OTHER;OTHER;science;1675hook;1650-1699;1675;the mouldring of moorestones
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;38;1.09;1.09;no;-1.685451562;OTHER;OTHER;science;1675hook;1650-1699;1675;the wash of the severn
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;38;1.09;1.09;no;-1.685451562;OTHER;mouth;science;1675hook;1650-1699;1675;the mouth of the severn
1;0;OF;1;3;non-animate;no;yes;no;no;yes;yes;39;1.63;0.54;no;-1.685451562;OTHER;OTHER;science;1675hook;1650-1699;1675;the greatness and smallness of the grain
3;1;NN;1;1;non-animate;no;yes;no;no;yes;yes;39;3.26;2.17;no;-1.685451562;land;OTHER;science;1675hook;1650-1699;1675;the NN-land carriage
3;1;NN;1;1;non-animate;no;yes;yes;no;yes;yes;39;3.26;2.17;no;-1.685451562;land;OTHER;science;1675hook;1650-1699;1675;this NN-land carriage
3;1;NN;1;1;non-animate;no;yes;no;no;yes;yes;40;0.54;1.09;no;-1.685451562;OTHER;OTHER;science;1675hook;1650-1699;1675;an NN-afternoon travel
3;1;NN;2;1;non-animate;no;yes;no;no;yes;yes;46;1.63;14.66;no;-1.685451562;OTHER;OTHER;science;1675hook;1650-1699;1675;NN-plymouth sand
1;0;OF;3;1;non-animate;no;yes;yes;no;yes;no;36;0.54;1.09;no;-1.685451562;OTHER;OTHER;science;1675hook;1650-1699;1675;an eclipse of a notable fixt starr
3;1;NN;1;1;non-animate;no;yes;no;no;yes;yes;39;3.8;14.66;no;-1.685451562;sea;OTHER;science;1675hook;1650-1699;1675;the NN-sea sand
3;1;NN;2;1;non-animate;no;no;no;no;yes;no;41;3.26;1.63;no;-1.685451562;country;OTHER;science;1675hook;1650-1699;1675;NN-country men
1;0;OF;4;2;non-animate;no;yes;yes;no;yes;yes;37;0.54;0.54;no;-1.685451562;OTHER;time;science;1675hook;1650-1699;1675;the precise time of its immersion and emersion
1;0;OF;1;2;non-animate;no;no;yes;no;yes;no;36;4.91;3.13;yes;-1.685451562;OTHER;OTHER;science;1675ray;1650-1699;1675;the swimming bladders of fishes
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;35;8.04;0.89;no;-1.685451562;water;pressure;science;1675ray;1650-1699;1675;the pressure of the water
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;42;0.89;0.45;no;-1.685451562;OTHER;OTHER;science;1675ray;1650-1699;1675;the cavity of the abdomen
1;0;OF;1;1;non-animate;no;no;no;no;yes;yes;39;0.89;0.45;yes;-1.685451562;OTHER;action;science;1675ray;1650-1699;1675;the action of the muscles
1;0;OF;1;1;non-animate;no;yes;yes;no;yes;yes;41;5.81;0.45;no;-1.685451562;air;compression;science;1675ray;1650-1699;1675;compression of the air
1;0;OF;2;3;non-animate;no;no;no;no;yes;yes;38;0.45;0.89;yes;-1.685451562;OTHER;weight;science;1675ray;1650-1699;1675;length and weight of their tails
1;0;OF;1;1;non-animate;no;no;no;no;yes;yes;47;0.45;0.45;no;-1.685451562;OTHER;OTHER;science;1675ray;1650-1699;1675;an extract of a letter
1;0;OF;2;1;non-animate;no;yes;no;no;yes;no;33;0.45;1.34;yes;-1.685451562;OTHER;OTHER;science;1675ray;1650-1699;1675;the fashion of our hats
1;0;OF;1;3;non-animate;no;yes;no;no;yes;no;44;5.81;0.89;no;-1.685451562;air;OTHER;science;1675ray;1650-1699;1675;the gravity and gravitation of the air
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;38;5.81;0.89;no;-1.685451562;air;OTHER;science;1675ray;1650-1699;1675;the gravitation of air
1;0;OF;1;1;animate;no;no;no;no;yes;no;42;4.91;3.13;yes;-1.685451562;OTHER;OTHER;science;1675ray;1650-1699;1675;the bladders of those fishes
1;0;OF;1;2;non-animate;no;no;no;no;yes;no;39;1.34;0.89;no;-1.685451562;spring;OTHER;science;1675ray;1650-1699;1675;the temperate weather of the spring
1;0;OF;1;2;non-animate;no;yes;no;no;yes;no;38;0.45;0.89;no;-1.685451562;OTHER;OTHER;science;1675ray;1650-1699;1675;the temperate weather of the autumn
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;37;0.45;0.89;no;-1.685451562;OTHER;OTHER;science;1675ray;1650-1699;1675;the sunshine of the east
